id,station_id,location,latitude,longitude,elevation,date,precipitation,temp_avg,temp_max,temp_min
1,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-01,0.38,72,85,67
2,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-02,0.00,74,85,67
3,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-03,0.00,71,76,64
4,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-04,0.00,64,74,55
5,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-05,0.00,66,75,59
6,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-06,0.00,65,79,55
7,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-07,0.00,67,73,60
8,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-08,0.00,63,73,54
9,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-09,0.00,62,79,49
10,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-10,0.00,64,79,50
11,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-11,0.00,65,77,53
12,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-12,0.15,63,71,55
13,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-13,0.11,66,74,62
14,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-14,0.03,69,76,65
15,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-15,0.00,69,76,63
16,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-16,0.18,67,73,58
17,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-17,2.27,60,64,57
18,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-18,0.37,67,73,62
19,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-19,0.10,69,81,64
20,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-20,0.00,72,85,63
21,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-21,0.00,69,86,58
22,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-22,0.00,73,88,62
23,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-23,0.10,72,84,65
24,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-24,0.21,73,82,68
25,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-25,4.09,70,77,63
26,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-26,5.78,65,70,63
27,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-27,4.11,69,73,64
28,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-28,0.00,69,73,64
29,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-29,0.00,69,74,61
30,USW00003812,ASHEVILLE REGIONAL AIRPORT NC US,35.43178,-82.53787,645.6,2024-09-30,0.00,66,75,61